Project Reference,Project ID,Project ID Id,Id Project ID,HE/MEAS Delay Status,Firm Order Placed,Ran Priority,NIA Order Delivery (A),Transmission Delivered (A),Transmission Delivered (F),COC Uploaded,PRTC (A),PRTC (F),HE/MEAS Status,WES PSID
PX71-SG-CKIGOMO,P-193274,a1e4J000000CKKqQAO,a0i4J0000023SgxQAE,NONE,5/29/2020,Huawei,,8/4/2020,,8/4/2020,2/20/2019,,7.0 COMPLETED (10GB),BTWD209940
PX71-SG-CKIHJHK,P-193295,a1e4J000000CKKrQAO,a0i4J0000023ShIQAU,NONE,3/17/2020,Huawei,,8/26/2020,,12/24/2020,5/4/2020,,7.0 COMPLETED (10GB),BTWD209073
PX71-SG-CKIJHKL,P-193296,a1e4J000000CKKsQAO,a0i4J0000023ShJQAU,NONE,1/9/2019,Nokia Compact,,8/22/2019,,8/10/2022,8/20/2019,,7.0 COMPLETED (10GB),BTWD206132
PX71-SG-CKIGKHH,P-193297,a1e4J000000CKKtQAO,a0i4J0000023ShKQAU,NONE,4/2/2020,Nokia Compact,,6/22/2020,,6/22/2020,8/20/2019,,7.0 COMPLETED (10GB),BTWD209196
PX71-SG-CKIHJGL,P-193298,a1e4J000000CKKuQAO,a0i4J0000023ShLQAU,NONE,3/25/2020,Huawei,,10/4/2021,,10/4/2021,5/4/2020,,7.0 COMPLETED (10GB),BTWD211137
PX71-SG-CKIJHKK,P-193299,a1e4J000000CKKvQAO,a0i4J0000023ShMQAU,NONE,1/24/2019,Huawei,,3/3/2020,,3/3/2020,8/20/2019,,7.0 COMPLETED (10GB),BTWD206212
PX71-SG-CKIIIHO,P-193300,a1e4J000000CKKwQAO,a0i4J0000023ShNQAU,NONE,9/17/2021,Nokia,,1/24/2022,,1/24/2022,5/4/2020,,7.0 COMPLETED (10GB),BTWD212748
PX71-SG-CKIHINO,P-193301,a1e4J000000CKKxQAO,a0i4J0000023ShOQAU,NONE,4/29/2020,Nokia Compact,,1/12/2021,,1/12/2021,1/13/2020,,7.0 COMPLETED (10GB),BTWD209510
PX71-SG-CKIIOPJ,P-193302,a1e4J000000CKKyQAO,a0i4J0000023ShPQAU,NONE,8/2/2019,Huawei,,10/31/2019,,10/31/2019,7/16/2020,,7.0 COMPLETED (10GB),BTWD207490
PX71-SG-CKJJOIO,P-193303,a1e4J000000CKKzQAO,a0i4J0000023ShQQAU,,5/9/2019,Nokia Compact,,9/3/2024,,,2/7/2019,,7.0 COMPLETED (10GB),BTWD206746
