Project Reference,Project ID,Project ID Id,Id Project ID,HE/MEAS Delay Status,Firm Order Placed,Ran Priority,NIA Order Delivery (A),Transmission Delivered (A),Transmission Delivered (F),COC Uploaded,PRTC (A),PRTC (F),HE/MEAS Status,WES PSID
PX71-SG-CKIIMGL,P-191995,a1e4J000000CK0NQAW,a0i4J0000023SLCQA2,,9/13/2019,Nokia Compact,,12/13/2019,,7/15/2021,4/16/2019,,7.0 COMPLETED (10GB),BTWD208000
PX71-SG-CKIIKKK,P-191996,a1e4J000000CK0OQAW,a0i4J0000023SLDQA2,NONE,8/22/2019,Nokia Compact,,6/25/2020,,6/25/2020,4/4/2019,,7.0 COMPLETED (10GB),BTWD207706
PX71-SG-CKJJLKP,P-191999,a1e4J000000CK0RQAW,a0i4J0000023SLGQA2,CUST - NTQ SITE,10/3/2019,Nokia Compact,,,,,3/18/2019,,2.0 EAD PLANNING (10GB),BTWD208221
PX71-SG-CKIIMJH,P-192000,a1e4J000000CK0SQAW,a0i4J0000023SLHQA2,NONE,1/30/2020,Huawei,,1/4/2022,,6/17/2022,9/1/2021,,7.0 COMPLETED (10GB),BTWD210588
PX71-SG-CKIHJPM,P-192001,a1e4J000000CK0TQAW,a0i4J0000023SLIQA2,NONE,11/19/2019,Nokia Compact,,9/15/2020,,9/15/2020,11/14/2019,,7.0 COMPLETED (10GB),BTWD208630
PX71-SG-CKIIGJM,P-192002,a1e4J000000CK0UQAW,a0i4J0000023SLJQA2,,9/13/2019,Huawei,,11/20/2019,,6/16/2022,11/14/2019,,7.0 COMPLETED (10GB),BTWD207966
PX71-SG-CKIIGJJ,P-192003,a1e4J000000CK0VQAW,a0i4J0000023SLKQA2,NONE,9/10/2019,Nokia Compact,,11/20/2020,,11/20/2020,11/14/2019,,7.0 COMPLETED (10GB),BTWD207882
PX71-SG-CKIGIOO,P-192004,a1e4J000000CK0WQAW,a0i4J0000023SLLQA2,NONE,7/17/2020,Nokia Compact,,10/21/2020,,10/21/2020,3/18/2019,,7.0 COMPLETED (10GB),BTWD210328
PX71-SG-CKIIGIP,P-192005,a1e4J000000CK0XQAW,a0i4J0000023SLMQA2,NONE,9/13/2019,Nokia Compact,,5/25/2021,,5/25/2021,11/14/2019,,7.0 COMPLETED (10GB),BTWD208009
PX71-SG-CKIIKJQ,P-192006,a1e4J000000CK0YQAW,a0i4J0000023SLNQA2,NONE,8/22/2019,Nokia Compact,,7/28/2020,,7/28/2020,9/1/2021,,7.0 COMPLETED (10GB),BTWD207713
PX71-SG-CKIILJI,P-192007,a1e4J000000CK0ZQAW,a0i4J0000023SLOQA2,,7/4/2019,Nokia Compact,,12/4/2019,,12/4/2019,3/18/2019,,7.0 COMPLETED (10GB),BTWD207223
PX71-SG-CKIIFGI,P-192008,a1e4J000000CK0aQAG,a0i4J0000023SLPQA2,NONE,9/13/2019,Huawei,,3/27/2020,,4/11/2022,11/14/2019,,7.0 COMPLETED (10GB),BTWD208011
PX71-SG-CKIILIQ,P-192009,a1e4J000000CK0bQAG,a0i4J0000023SLQQA2,NONE,8/16/2019,Huawei,,10/16/2019,,10/16/2019,9/1/2021,,7.0 COMPLETED (10GB),BTWD207658
PX71-SG-CKIILNK,P-192010,a1e4J000000CK0cQAG,a0i4J0000023SLRQA2,NONE,,E-Band,,1/14/2021,,,,,7.0 COMPLETED 10GB (E-BAND),
PX71-SG-CKIIOMQ,P-192011,a1e4J000000CK0dQAG,a0i4J0000023SLSQA2,NONE,8/31/2019,Nokia Compact,,1/14/2020,,1/14/2020,5/30/2019,,7.0 COMPLETED (10GB),BTWD207758
PX71-SG-CKIJGLL,P-192012,a1e4J000000CK0eQAG,a0i4J0000023SLTQA2,WTG NETWORK ISSUE TO BE RESOLVED,4/3/2019,Nokia Compact,,10/16/2019,,6/8/2021,5/30/2019,,7.0 COMPLETED (10GB),BTWD206564
PX71-SG-CKILJNQ,P-192013,a1e4J000000CK0fQAG,a0i4J0000023SLUQA2,,9/20/2019,Huawei,,2/12/2020,,2/12/2020,9/19/2019,,7.0 COMPLETED (10GB),BTWD208137
PX71-SG-DFDFOJI,P-192014,a1e4J000000CK0gQAG,a0i4J0000023SLVQA2,NONE,,,,9/17/2018,,,,,7.0 COMPLETED SMEAS 10GB,
PX71-SG-CKIHOGM,P-192045,a1e4J000000CK0hQAG,a0i4J0000023SM0QAM,NONE,9/16/2019,Nokia Compact,,4/21/2020,,4/21/2020,2/20/2019,,7.0 COMPLETED (10GB),BTWD208027
PX71-SG-CKIINGI,P-192046,a1e4J000000CK0iQAG,a0i4J0000023SM1QAM,NONE,6/25/2019,Nokia Compact,,10/16/2019,,2/17/2022,4/4/2019,,7.0 COMPLETED (10GB),BTWD207148
PX71-SG-CKIHOGN,P-192047,a1e4J000000CK0jQAG,a0i4J0000023SM2QAM,NONE,9/26/2019,Nokia Compact,,5/6/2021,,5/6/2021,3/29/2019,,7.0 COMPLETED (10GB),BTWD208098
PX71-SG-CKIHOHJ,P-192048,a1e4J000000CK0kQAG,a0i4J0000023SM3QAM,,9/13/2019,Nokia Compact,,1/24/2020,,1/26/2020,2/20/2019,,7.0 COMPLETED (10GB),BTWD208043
PX71-SG-CKIJJPH,P-192049,a1e4J000000CK0lQAG,a0i4J0000023SM4QAM,NONE,2/11/2019,Nokia Compact,,5/20/2019,,5/20/2019,4/4/2019,,7.0 COMPLETED (10GB),BTWD206335
PX71-SG-CKIJKHP,P-192050,a1e4J000000CK0mQAG,a0i4J0000023SM5QAM,NONE,2/11/2019,Nokia Compact,,9/13/2019,,9/13/2019,2/20/2019,,7.0 COMPLETED (10GB),BTWD206333
PX71-SG-CKIHOHK,P-192051,a1e4J000000CK0nQAG,a0i4J0000023SM6QAM,,9/13/2019,Huawei,,4/22/2020,,12/24/2020,3/29/2019,,7.0 COMPLETED (10GB),BTWD208003
PX71-SG-CKIINII,P-192052,a1e4J000000CK0oQAG,a0i4J0000023SM7QAM,,6/21/2019,Nokia Compact,,4/23/2020,,4/23/2020,4/4/2019,,7.0 COMPLETED (10GB),BTWD207124
PX71-SG-CKIJNMJ,P-192053,a1e4J000000CK0pQAG,a0i4J0000023SM8QAM,NONE,9/23/2018,Nokia Compact,,5/10/2019,,5/10/2019,2/20/2019,,7.0 COMPLETED (10GB),BTWD205657
,P-192054,a1e4J000000CK0qQAG,a0i4J0000023SM9QAM,,,,,,,,,,,BTWD207772
PX71-SG-DFDFOJI,P-192015,a1e4J000000CK0rQAG,a0i4J0000023SLWQA2,,,,,,,,,,7.0 COMPLETED (10GB),BTWD207973
PX71-SG-CKIJGOI,P-192016,a1e4J000000CK0sQAG,a0i4J0000023SLXQA2,NONE,5/1/2019,Nokia Compact,,8/30/2019,,5/26/2021,4/26/2019,,7.0 COMPLETED (10GB),BTWD206674
PX71-SG-CKIIHLM,P-192017,a1e4J000000CK0tQAG,a0i4J0000023SLYQA2,NONE,8/29/2019,Nokia Compact,,9/2/2020,,6/15/2021,3/18/2019,,7.0 COMPLETED (10GB),BTWD207744
PX71-SG-CKIJGIP,P-192018,a1e4J000000CK0uQAG,a0i4J0000023SLZQA2,NONE,10/23/2019,Huawei,,8/28/2020,,10/27/2021,5/30/2019,,7.0 COMPLETED (10GB),BTWD208497
PX71-SG-CKIIGOK,P-192019,a1e4J000000CK0vQAG,a0i4J0000023SLaQAM,NONE,9/2/2019,Nokia Compact,,1/31/2022,,1/31/2022,3/18/2019,,7.0 COMPLETED (10GB),BTWD207765
PX71-DEDLKHJ,P-192023,a1e4J000000CK0zQAG,a0i4J0000023SLeQAM,,2/2/2024,Nokia Compact,,7/18/2024,,,,,7.0 COMPLETED (10GB),BTWD216470
PX71-SG-CKIHINP,P-192024,a1e4J000000CK10QAG,a0i4J0000023SLfQAM,NONE,5/19/2020,Nokia Compact,,8/11/2020,,8/11/2020,10/19/2020,,7.0 COMPLETED (10GB),BTWD209720
PX71-SG-CKIGLHJ,P-192055,a1e4J000000CK11QAG,a0i4J0000023SMAQA2,NONE,6/1/2020,Nokia Compact,,9/18/2020,,9/18/2020,4/4/2019,,7.0 COMPLETED (10GB),BTWD210007
PX71-SG-CKIGLGQ,P-192056,a1e4J000000CK12QAG,a0i4J0000023SMBQA2,NONE,6/1/2020,Nokia Compact,,8/21/2020,,8/24/2020,4/4/2019,,7.0 COMPLETED (10GB),BTWD210002
PX71-SG-CKJJHGQ,P-192057,a1e4J000000CK13QAG,a0i4J0000023SMCQA2,BT - WTG NGB / VIRTUA INSTALL (FIRAS),6/11/2020,Cisco,,,1/31/2025,,5/28/2021,,2.0 EAD PLANNING (10GB),BTWD218057
PX71-SG-CKIEHKO,P-192058,a1e4J000000CK14QAG,a0i4J0000023SMDQA2,BT - CIVILS PROGRAMMED,5/20/2020,Nokia Compact,,,11/6/2025,,12/4/2018,,2.0A EAD CIVILS (10GB),BTWD216442
PX71-SG-CKIGMPO,P-192059,a1e4J000000CK15QAG,a0i4J0000023SMEQA2,NONE,4/27/2020,Nokia Compact,,9/21/2020,,9/21/2020,8/24/2021,,7.0 COMPLETED (10GB),BTWD209499
PX71-SG-CKHNHJJ,P-192060,a1e4J000000CK16QAG,a0i4J0000023SMFQA2,,6/8/2020,Nokia Compact,,9/21/2022,,,6/30/2021,,7.0 COMPLETED (10GB) (BOX SWAP),BTWD210116
PX71-SG-CKJJJGH,P-192061,a1e4J000000CK17QAG,a0i4J0000023SMGQA2,CUST - WTG H&S ISSUE (ASBESTOS),6/2/2020,,,,1/31/2023,,,,1.7 WTG RE-RAISE,BTWD210010
PX71-SG-CKIHJLM,P-192062,a1e4J000000CK18QAG,a0i4J0000023SMHQA2,NONE,5/6/2020,Nokia Compact,,1/7/2021,,1/7/2021,1/21/2021,,7.0 COMPLETED (10GB),BTWD209555
PX71-SG-CKIEHMN,P-192063,a1e4J000000CK19QAG,a0i4J0000023SMIQA2,,5/18/2020,Nokia Small,,6/1/2023,,,11/5/2020,,7.0 COMPLETED (10GB),BTWD209674
PX71-SG-CKIGKOO,P-192064,a1e4J000000CK1AQAW,a0i4J0000023SMJQA2,NONE,5/4/2020,Huawei,,2/19/2021,,2/24/2021,11/15/2018,,7.0 COMPLETED (10GB),BTWD210689
PX71-SG-CKJJKJH,P-192025,a1e4J000000CK1BQAW,a0i4J0000023SLgQAM,BT - WTG NGB / VIRTUA SURVEY JSV (FIRAS),3/31/2020,Nokia Compact,,,10/31/2025,,11/5/2020,,2.0 EAD PLANNING (10GB),BTWD209182
PX71-SG-CKIGNMM,P-192026,a1e4J000000CK1CQAW,a0i4J0000023SLhQAM,NONE,4/14/2020,Nokia Compact,,11/11/2020,,11/11/2020,9/26/2019,,7.0 COMPLETED (10GB),BTWD209351
PX71-SG-CKIHHMH,P-192027,a1e4J000000CK1DQAW,a0i4J0000023SLiQAM,NONE,3/12/2020,Nokia Compact,,5/28/2020,,5/28/2020,11/5/2020,,7.0 COMPLETED (10GB),BTWD209034
PX71-SG-CKIHJKK,P-192028,a1e4J000000CK1EQAW,a0i4J0000023SLjQAM,NONE,4/2/2020,Nokia Compact,,8/19/2020,,8/19/2020,1/21/2021,,7.0 COMPLETED (10GB),BTWD209195
PX71-SG-CKIIJGM,P-192029,a1e4J000000CK1FQAW,a0i4J0000023SLkQAM,NONE,8/2/2019,Nokia Compact,,12/3/2020,,12/3/2020,7/27/2020,,7.0 COMPLETED (10GB),BTWD207501
PX71-SG-CKIJNMI,P-192030,a1e4J000000CK1GQAW,a0i4J0000023SLlQAM,NONE,9/22/2018,Nokia Compact,,5/28/2019,,5/28/2019,2/20/2019,,7.0 COMPLETED (10GB),BTWD205652
PX71-SG-CKIJLOL,P-192031,a1e4J000000CK1HQAW,a0i4J0000023SLmQAM,NONE,2/11/2019,Nokia Compact,,5/28/2019,,5/28/2019,4/4/2019,,7.0 COMPLETED (10GB),BTWD206342
PX71-SG-CKIIKJN,P-192032,a1e4J000000CK1IQAW,a0i4J0000023SLnQAM,BT - WTG PACS,6/25/2019,Huawei,,10/31/2019,,2/24/2021,4/4/2019,,7.0 COMPLETED (10GB),BTWD207142
PX71-SG-CKIJJPO,P-192033,a1e4J000000CK1JQAW,a0i4J0000023SLoQAM,NONE,2/11/2019,Nokia Compact,,6/17/2019,,2/26/2021,4/4/2019,,7.0 COMPLETED (10GB),BTWD206337
PX71-SG-CKIIMPQ,P-192034,a1e4J000000CK1KQAW,a0i4J0000023SLpQAM,NONE,6/25/2019,Huawei,,10/16/2019,,10/16/2019,3/29/2019,,7.0 COMPLETED (10GB),BTWD207144
PX71-SG-CKIHJHP,P-192065,a1e4J000000CK1LQAW,a0i4J0000023SMKQA2,NONE,4/3/2020,Nokia Compact,,3/18/2021,,3/18/2021,8/9/2021,,7.0 COMPLETED (10GB),BTWD209212
PX71-CKKLKJJ,P-192066,a1e4J000000CK1MQAW,a0i4J0000023SMLQA2,NONE,5/14/2020,Nokia Compact,,7/30/2020,,7/30/2020,7/1/2021,,7.0 COMPLETED (10GB),BTWD209607
PX71-SG-CKIELIN,P-192068,a1e4J000000CK1OQAW,a0i4J0000023SMNQA2,NONE,5/6/2020,Nokia Compact,,10/28/2020,,11/3/2020,12/1/2020,,7.0 COMPLETED (10GB) (BOX SWAP),BTWD209709
PX71-SG-CKIHJHO,P-192069,a1e4J000000CK1PQAW,a0i4J0000023SMOQA2,NONE,5/18/2020,Huawei,,9/2/2020,,1/15/2022,8/9/2021,,7.0 COMPLETED (10GB),BTWD209631
PX71-SG-CKIHJJO,P-192070,a1e4J000000CK1QQAW,a0i4J0000023SMPQA2,NONE,5/14/2020,Nokia Compact,,3/18/2021,,3/18/2021,11/5/2020,,7.0 COMPLETED (10GB),BTWD209600
PX71-SG-CKJJGMO,P-192071,a1e4J000000CK1RQAW,a0i4J0000023SMQQA2,,5/6/2020,Nokia Compact,,3/18/2025,,,11/25/2020,,7.0 COMPLETED (10GB),BTWD209550
,P-192072,a1e4J000000CK1SQAW,a0i4J0000023SMRQA2,,,,,,,,,,1.3 CRF TO BE SUBMITTED (Fluid) (10GB),
PX71-SG-CKIGLKK,P-192073,a1e4J000000CK1TQAW,a0i4J0000023SMSQA2,NONE,5/6/2020,Nokia Compact,,9/7/2020,,9/7/2020,11/25/2020,,7.0 COMPLETED (10GB),BTWD209552
,P-192074,a1e4J000000CK1UQAW,a0i4J0000023SMTQA2,,,,,,,,,,1.3 DESIGN RECEIVED - CRF NON-FLUID (10GB),
PX71-SG-CKJJJNN,P-192095,a1e4J000000CK1VQAW,a0i4J0000023SMoQAM,,,,,,,,,,,BTWD210113
PX71-SG-CKIGKJI,P-192096,a1e4J000000CK1WQAW,a0i4J0000023SMpQAM,NONE,4/7/2020,Nokia Compact,,4/15/2021,,4/20/2021,2/18/2021,,7.0 COMPLETED (10GB),BTWD209280
PX71-SG-CKIHIHK,P-192097,a1e4J000000CK1XQAW,a0i4J0000023SMqQAM,NONE,7/16/2020,Nokia Compact,,2/17/2022,,2/17/2022,6/3/2020,,7.0 COMPLETED (10GB),BTWD210297
,P-192098,a1e4J000000CK1YQAW,a0i4J0000023SMrQAM,,,,,,,,,,1.3 DESIGN RECEIVED - CRF NON-FLUID (10GB),
PX71-SG-CKIGMOK,P-192099,a1e4J000000CK1ZQAW,a0i4J0000023SMsQAM,NONE,6/8/2020,Huawei,,8/16/2021,,8/16/2021,12/7/2020,,7.0 COMPLETED (10GB),BTWD210108
PX71-SG-CKIGMJO,P-192100,a1e4J000000CK1aQAG,a0i4J0000023SMtQAM,NONE,3/17/2020,Huawei,,11/2/2021,,11/2/2021,7/27/2021,,7.0 COMPLETED (10GB),BTWD209085
PX71-SG-CKIHIOQ,P-192101,a1e4J000000CK1bQAG,a0i4J0000023SMuQAM,NONE,4/3/2020,Nokia Compact,,4/14/2021,,4/20/2021,7/27/2021,,7.0 COMPLETED (10GB),BTWD210716
PX71-SG-CKIGJHP,P-192103,a1e4J000000CK1dQAG,a0i4J0000023SMwQAM,NONE,5/29/2020,Huawei,,11/17/2020,,11/17/2020,,,7.0 COMPLETED (10GB),BTWD209938
PX71-SG-CKIHNKH,P-192104,a1e4J000000CK1eQAG,a0i4J0000023SMxQAM,NONE,11/19/2019,Huawei,,7/23/2020,,7/23/2020,10/13/2021,,7.0 COMPLETED (10GB),BTWD208643
PX71-SG-CKIGJON,P-192075,a1e4J000000CK1fQAG,a0i4J0000023SMUQA2,NONE,7/23/2020,Nokia Compact,,5/21/2021,,5/21/2021,7/28/2021,,7.0 COMPLETED (10GB),BTWD210352
PX71-DCEJLOP,P-192076,a1e4J000000CK1gQAG,a0i4J0000023SMVQA2,,4/27/2023,Nokia Compact,,11/1/2023,,,11/25/2020,,7.0 COMPLETED (10GB),BTWD215432
,P-192077,a1e4J000000CK1hQAG,a0i4J0000023SMWQA2,,,,,,,,,,1.3 CRF TO BE SUBMITTED (Fluid) (10GB),
PX71-SG-CKIHNLQ,P-192078,a1e4J000000CK1iQAG,a0i4J0000023SMXQA2,F&T SCHEDULED,9/4/2019,Nokia Compact,,5/27/2020,,5/27/2020,9/26/2019,,7.0 COMPLETED (10GB),BTWD207805
PX71-SG-CKIIHPM,P-192079,a1e4J000000CK1jQAG,a0i4J0000023SMYQA2,,9/4/2019,Nokia Compact,,2/19/2020,,2/19/2020,9/26/2019,,7.0 COMPLETED (10GB),BTWD207809
PX71-SG-CKIIMIH,P-192080,a1e4J000000CK1kQAG,a0i4J0000023SMZQA2,NONE,7/24/2019,Nokia Compact,,1/11/2021,,10/14/2021,9/13/2019,,7.0 COMPLETED (10GB),BTWD207446
PX71-SG-CKIGKLM,P-192081,a1e4J000000CK1lQAG,a0i4J0000023SMaQAM,NONE,5/27/2020,Nokia Compact,,9/17/2020,,9/17/2020,6/3/2020,,7.0 COMPLETED (10GB),BTWD209908
PX71-SG-CKIGNHM,P-192082,a1e4J000000CK1mQAG,a0i4J0000023SMbQAM,NONE,5/18/2020,Nokia Compact,,8/3/2020,,8/3/2020,9/2/2019,,7.0 COMPLETED (10GB),BTWD209644
PX71-SG-CKIGOMN,P-192083,a1e4J000000CK1nQAG,a0i4J0000023SMcQAM,NONE,5/4/2020,Nokia Compact,,11/26/2020,,11/26/2020,6/3/2020,,7.0 COMPLETED (10GB),BTWD209533
PX71-SG-CKIEOPQ,P-192084,a1e4J000000CK1oQAG,a0i4J0000023SMdQAM,NONE,4/13/2022,Nokia,,6/20/2022,,6/13/2022,3/5/2021,,7.0 COMPLETED (10GB),BTWD213612
PX71-SG-CKIGKGP,P-192105,a1e4J000000CK1pQAG,a0i4J0000023SMyQAM,NONE,4/9/2020,Nokia Compact,,11/18/2020,,11/18/2020,2/23/2021,,7.0 COMPLETED (10GB),BTWD209300
PX71-SG-CKIGKGQ,P-192106,a1e4J000000CK1qQAG,a0i4J0000023SMzQAM,NONE,6/29/2020,Nokia Compact,,8/28/2020,,8/28/2020,2/23/2021,,7.0 COMPLETED (10GB),BTWD210269
,P-192107,a1e4J000000CK1rQAG,a0i4J0000023SN0QAM,,,,,,,,,,,BTWD209918
PX71-SG-CKIHOOI,P-192108,a1e4J000000CK1sQAG,a0i4J0000023SN1QAM,,8/16/2019,Nokia Compact,,6/18/2020,,6/18/2020,9/13/2019,,7.0 COMPLETED (10GB),BTWD207657
PX71-SG-CKIHGMO,P-192109,a1e4J000000CK1tQAG,a0i4J0000023SN2QAM,NONE,3/27/2020,Huawei,,11/29/2021,,5/3/2022,9/6/2019,,7.0 COMPLETED (10GB),BTWD209140
PX71-SG-CKJIGLI,P-192110,a1e4J000000CK1uQAG,a0i4J0000023SN3QAM,,8/22/2022,Nokia Small,,12/16/2022,,,9/6/2019,,7.0 COMPLETED (10GB),BTWD214594
PX71-SG-CKIGNGH,P-192111,a1e4J000000CK1vQAG,a0i4J0000023SN4QAM,NONE,4/28/2020,Huawei,,6/30/2020,,4/29/2022,9/13/2019,,7.0 COMPLETED (10GB),BTWD209538
PX71-SG-CKIGKIJ,P-192112,a1e4J000000CK1wQAG,a0i4J0000023SN5QAM,NONE,4/29/2020,Nokia Compact,,6/23/2020,,3/29/2022,12/6/2019,,7.0 COMPLETED (10GB),BTWD209504
PX71-SG-CKIIILI,P-192113,a1e4J000000CK1xQAG,a0i4J0000023SN6QAM,NONE,10/15/2019,Nokia Compact,,1/29/2020,,1/29/2020,9/6/2019,,7.0 COMPLETED (10GB),BTWD208432
,P-192114,a1e4J000000CK1yQAG,a0i4J0000023SN7QAM,,,,,,,,,,1.3 DESIGN RECEIVED - CRF NON-FLUID (10GB),
PX71-SG-CKIJMKH,P-192035,a1e4J000000CK1zQAG,a0i4J0000023SLqQAM,NONE,2/7/2019,Nokia Compact,,6/4/2019,,2/24/2021,4/4/2019,,7.0 COMPLETED (10GB),BTWD206301
PX71-SG-CKIIKMI,P-192036,a1e4J000000CK20QAG,a0i4J0000023SLrQAM,NONE,6/25/2019,Nokia Compact,,1/28/2020,,4/28/2022,3/29/2019,,7.0 COMPLETED (10GB),BTWD207152
PX71-SG-CKIJMKI,P-192037,a1e4J000000CK21QAG,a0i4J0000023SLsQAM,NONE,2/7/2019,Nokia Compact,,6/14/2019,,6/14/2019,4/4/2019,,7.0 COMPLETED (10GB),BTWD206299
PX71-SG-CKIJMLH,P-192038,a1e4J000000CK22QAG,a0i4J0000023SLtQAM,NONE,2/7/2019,Huawei,,9/20/2019,,12/16/2020,4/4/2019,,7.0 COMPLETED (10GB),BTWD206303
PX71-SG-CKIJJPL,P-192039,a1e4J000000CK23QAG,a0i4J0000023SLuQAM,NONE,2/11/2019,Nokia Compact,,9/12/2019,,9/12/2019,4/4/2019,,7.0 COMPLETED (10GB),BTWD206336
PX71-SG-CKIJMKJ,P-192040,a1e4J000000CK24QAG,a0i4J0000023SLvQAM,NONE,2/7/2019,Nokia Compact,,9/12/2019,,9/12/2019,3/29/2019,,7.0 COMPLETED (10GB),BTWD206297
PX71-SG-CKIHOGH,P-192041,a1e4J000000CK25QAG,a0i4J0000023SLwQAM,NONE,9/17/2019,Nokia Compact,,1/8/2020,,7/20/2022,2/20/2019,,7.0 COMPLETED (10GB),BTWD208057
PX71-SG-CKILJNI,P-192042,a1e4J000000CK26QAG,a0i4J0000023SLxQAM,NONE,8/30/2019,Nokia Compact,,1/28/2020,,1/28/2020,4/4/2019,,7.0 COMPLETED (10GB),BTWD207753
PX71-SG-CKIILKL,P-192043,a1e4J000000CK27QAG,a0i4J0000023SLyQAM,NONE,9/4/2019,Nokia Compact,,9/21/2020,,9/21/2020,4/4/2019,,7.0 COMPLETED (10GB),BTWD207822
PX71-SG-CKIHOGL,P-192044,a1e4J000000CK28QAG,a0i4J0000023SLzQAM,,9/17/2019,Nokia Compact,,3/17/2020,,3/17/2020,3/29/2019,,7.0 COMPLETED (10GB),BTWD208078
PX71-SG-CKIGLLK,P-192085,a1e4J000000CK29QAG,a0i4J0000023SMeQAM,NONE,11/2/2020,Nokia,,3/4/2021,,3/4/2021,5/12/2020,,7.0 COMPLETED (10GB),BTWD210876
PX71-SG-CKIHHPH,P-192086,a1e4J000000CK2AQAW,a0i4J0000023SMfQAM,NONE,6/2/2020,Nokia Compact,,11/2/2020,,10/14/2020,5/14/2019,,7.0 COMPLETED (10GB),BTWD210088
PX71-SG-CKILJGI,P-192087,a1e4J000000CK2BQAW,a0i4J0000023SMgQAM,NONE,6/8/2020,Huawei,,10/2/2020,,10/2/2020,6/3/2020,,7.0 COMPLETED (10GB),BTWD210134
PX71-SG-CKIHJLP,P-192088,a1e4J000000CK2CQAW,a0i4J0000023SMhQAM,NONE,4/28/2020,Nokia Compact,,8/13/2020,,8/13/2020,9/2/2019,,7.0 COMPLETED (10GB),BTWD209518
PX71-SG-CKIGOPL,P-192089,a1e4J000000CK2DQAW,a0i4J0000023SMiQAM,NONE,4/17/2020,Nokia Compact,,6/22/2020,,1/14/2022,11/28/2019,,7.0 COMPLETED (10GB),BTWD209436
PX71-SG-CKIHJMJ,P-192090,a1e4J000000CK2EQAW,a0i4J0000023SMjQAM,NONE,5/18/2020,Nokia Compact,,3/19/2021,,3/19/2021,9/2/2019,,7.0 COMPLETED (10GB),BTWD209650
PX71-SG-CKIGKJQ,P-192091,a1e4J000000CK2FQAW,a0i4J0000023SMkQAM,NONE,5/4/2020,Nokia Compact,,3/11/2021,,3/11/2021,6/3/2020,,7.0 COMPLETED (10GB),BTWD209535
PX71-SG-CKIHHOP,P-192092,a1e4J000000CK2GQAW,a0i4J0000023SMlQAM,NONE,6/24/2020,Nokia Compact,,11/9/2021,,11/11/2021,,,7.0 COMPLETED (10GB),BTWD210271
PX71-SG-CKIGLIQ,P-192093,a1e4J000000CK2HQAW,a0i4J0000023SMmQAM,NONE,5/22/2020,Nokia Compact,,8/21/2020,,8/24/2020,2/18/2021,,7.0 COMPLETED (10GB),BTWD209841
PX71-SG-CKIHIHH,P-192094,a1e4J000000CK2IQAW,a0i4J0000023SMnQAM,NONE,5/22/2020,Nokia Compact,,9/23/2021,,9/23/2021,2/18/2021,,7.0 COMPLETED (10GB),BTWD209830
PX71-SG-CKHNHGO,P-192145,a1e4J000000CK2JQAW,a0i4J0000023SNcQAM,,6/15/2022,Nokia Small,,12/2/2022,,,11/16/2020,,7.0 COMPLETED (10GB),BTWD214152
PX71-SG-CKIFFML,P-192146,a1e4J000000CK2KQAW,a0i4J0000023SNdQAM,NONE,,E-Band,,11/24/2021,,,,,7.0 COMPLETED 10GB (E-BAND),
PX71-SG-CKIHGPL,P-192147,a1e4J000000CK2LQAW,a0i4J0000023SNeQAM,,5/21/2020,Nokia Compact,,9/2/2020,,9/2/2020,9/25/2019,,7.0 COMPLETED (10GB),BTWD209768
PX71-SG-CKIHMPH,P-192148,a1e4J000000CK2MQAW,a0i4J0000023SNfQAM,NONE,11/26/2019,Nokia Compact,,5/17/2021,,5/17/2021,1/21/2019,,7.0 COMPLETED (10GB),BTWD208657
PX71-SG-CKIILMH,P-192149,a1e4J000000CK2NQAW,a0i4J0000023SNgQAM,,6/26/2019,Huawei,,11/29/2019,,11/29/2019,3/18/2019,,7.0 COMPLETED (10GB),BTWD207161
PX71-SG-CKIGMPQ,P-192151,a1e4J000000CK2PQAW,a0i4J0000023SNiQAM,NONE,6/3/2020,Huawei,,12/22/2020,,12/31/2020,11/7/2020,,7.0 COMPLETED (10GB),BTWD210037
PX71-SG-CKIHGPJ,P-192152,a1e4J000000CK2QQAW,a0i4J0000023SNjQAM,NONE,4/7/2020,Nokia Compact,,7/26/2021,,7/26/2021,9/25/2019,,7.0 COMPLETED (10GB),BTWD209274
PX71-SG-CKIIOLK,P-192153,a1e4J000000CK2RQAW,a0i4J0000023SNkQAM,,5/31/2019,Nokia Compact,,3/24/2020,,3/24/2020,9/17/2019,,7.0 COMPLETED (10GB),BTWD206892
PX71-SG-CKIGJNH,P-192115,a1e4J000000CK2TQAW,a0i4J0000023SN8QAM,NONE,8/10/2021,Nokia Small,,11/16/2021,,11/17/2021,8/5/2021,,7.0 COMPLETED (10GB),BTWD212356
,P-192116,a1e4J000000CK2UQAW,a0i4J0000023SN9QAM,,4/8/2020,,,,,,,,2.0 EAD PLANNING (10GB),BTWD209344
PX71-SG-CKJJJIK,P-192117,a1e4J000000CK2VQAW,a0i4J0000023SNAQA2,,10/28/2021,Nokia Compact,,1/22/2024,,,12/11/2020,,7.0 COMPLETED (10GB),BTWD213064
PX71-SG-CKIHJGM,P-192118,a1e4J000000CK2WQAW,a0i4J0000023SNBQA2,NONE,5/18/2020,Nokia Compact,,3/23/2022,,3/25/2022,12/11/2020,,7.0 COMPLETED (10GB),BTWD209646
PX71-SG-CKIHGNP,P-192119,a1e4J000000CK2XQAW,a0i4J0000023SNCQA2,NONE,5/14/2020,Nokia Compact,,7/3/2020,,7/3/2020,12/11/2020,,7.0 COMPLETED (10GB),BTWD209587
